merk;cashback;min_pembelian;tipe;disc;before_disc;after_disc;harga_Fix
agnès b.;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Leather Tote Bag;-38%;Rp 5.669.000;None;Rp3.564.850
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Magie Sling Bag;-45%;Rp 3.494.000;None;Rp1.930.435
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Nylon Backpack;-39%;Rp 3.909.000;None;Rp2.390.850
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Easy Shopping Tote;-46%;Rp 5.443.000;None;Rp2.965.800
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Sling Bag;-55%;Rp 4.348.000;None;Rp1.978.340
agnès b.;6% Cashback;Tanpa min. pembelian.;Nylon Crossbody Bag;-40%;Rp 3.009.000;Rp 1.805.400;Rp 1.805.400
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Easy Shopping Tote;-46%;Rp 5.443.000;None;Rp2.965.800
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Leather Shoulder Bag;-48%;Rp 7.469.000;None;Rp3.957.950
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Izzy Slg Large Zip Around;None;None;None;None
Guess;25% Cashback;Min. pembelian  Rp299.000.;Didi Mini Flap Crossbody Bag;None;None;None;None
Gucci;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Leather Canvas Crossbody Sling Bag (nt);-26%;Rp 33.589.000;None;Rp24.891.750
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Wallet;-48%;Rp 1.759.000;None;Rp914.680
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Avern Zip Around Wallet;-60%;Rp 1.579.000;Rp 631.600;Rp 631.600
Gucci;35% off + 5% Cashback;Tanpa min. pembelian.;Bifold Wallet (nt);-52%;Rp 16.149.000;None;Rp7.872.638
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Logo Wallet;-24%;Rp 3.999.000;None;Rp3.049.200
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Crossbody Bag;-48%;Rp 2.699.000;None;Rp1.403.480
Gucci;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Microguccissima Bifold Long Wallet (nt);-43%;Rp 18.669.000;None;Rp10.701.400
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Arlettis Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Arlettis Sling Bag;-46%;Rp 5.040.000;None;Rp2.724.000
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Long Leather Wallet;-37%;Rp 4.989.000;None;Rp3.192.300
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Wallet;-48%;Rp 1.759.000;None;Rp914.680
agnès b.;6% Cashback;Tanpa min. pembelian.;Leather Crossbody Bag;-45%;Rp 4.799.000;Rp 2.639.450;Rp 2.639.450
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Long Leather Wallet;-37%;Rp 4.989.000;None;Rp3.192.300
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Tassel Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Tassel Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
agnès b.;6% Cashback;Tanpa min. pembelian.;Leather Crossbody Bag;-45%;Rp 4.799.000;Rp 2.639.450;Rp 2.639.450
agnès b.;6% Cashback;Tanpa min. pembelian.;Front Buttons Detail Sling Bag;-65%;Rp 4.529.000;Rp 1.585.150;Rp 1.585.150
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 3.092.000;None;Rp1.406.860
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Kattie Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Myrine Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
agnès b.;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Circle Leather Coin Purse;-66%;Rp 2.329.000;None;Rp811.600
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Shoulder Bag;-55%;Rp 3.494.000;None;Rp1.589.770
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Never Without Bag Monogram Tote Bag;-55%;Rp 5.443.000;None;Rp2.476.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Trousse Pouch;-55%;Rp 1.095.000;None;Rp498.225
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Myrine Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Myrine Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beth Shoulder Strap;-55%;Rp 1.643.000;None;Rp747.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Enchanteuse Sling Bag;-55%;Rp 3.849.000;None;Rp1.751.295
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 2.850.000;None;Rp1.296.750
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Myrine Wallet;-52%;Rp 2.093.000;None;Rp1.020.338
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beth Shoulder Strap;-55%;Rp 1.643.000;None;Rp747.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beth Shoulder Strap;-55%;Rp 1.643.000;None;Rp747.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Sling Bag;-55%;Rp 6.393.000;None;Rp2.908.815
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 3.092.000;None;Rp1.406.860
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 2.399.000;None;Rp1.091.545
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Marvin Twist Sling Bag;-55%;Rp 6.135.000;None;Rp2.791.425
Guess;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Pouch Bum Bag;-35%;Rp 1.619.000;Rp 1.052.350;Rp 1.052.350
Guess;25% Cashback;Min. pembelian  Rp299.000.;Didi Society Satchel Bag;-10%;Rp 2.833.650;Rp 2.550.285;Rp 2.550.285
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Sling Bag;-55%;Rp 5.040.000;None;Rp2.293.200
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 2.142.000;None;Rp974.610
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Card Holder;-55%;Rp 1.643.000;None;Rp747.565
agnès b.;6% Cashback;Tanpa min. pembelian.;Leather Crossbody Bag;-45%;Rp 4.279.000;Rp 2.353.450;Rp 2.353.450
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Leather Shoulder Bag;-45%;Rp 7.469.000;None;Rp4.181.400
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Goodie Wallet;-55%;Rp 2.754.000;None;Rp1.253.070
Coach;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Hayden Crossbody Bag;-34%;Rp 4.879.000;None;Rp3.265.300
MICHAEL KORS;None;None;Michael Kors Jet Set Travel Medium Chain Card Case Brown 35R3GTVD6B;-59%;Rp 8.855.000;Rp 3.634.000;Rp 3.634.000
Esgotado;None;None;Esgotado Tas Ransel Backpack Kanvas Pria Wanita - New Mochilo Dezeso Beige;None;None;None;None
agnès b.;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Leather Top-Handle Bag;-28%;Rp 5.669.000;None;Rp4.131.750
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Diletta Sling Bag;-55%;Rp 5.684.000;None;Rp2.586.220
Coach;None;None;Coach Medium Corner Zip Wallet In Signature Canvas Light Khaki Saddle C0082;-19%;Rp 4.889.500;Rp 4.005.000;Rp 4.005.000
MICHAEL KORS;None;None;Michael Kors Jet Set Travel Medium Saffiano Leather Chain Card Case Black 35R3GTVD6L;-59%;Rp 8.855.000;Rp 3.634.000;Rp 3.634.000
TUMI;None;None;Tumi Just In Case Tote Nylon Camouflage Pink;-29%;Rp 4.670.000;Rp 3.340.000;Rp 3.340.000
Givenchy;None;None;Givenchy Mini G-Hobo Bag Celadon;-30%;Rp 23.340.000;Rp 16.350.000;Rp 16.350.000
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Sling Bag;-55%;Rp 4.348.000;None;Rp1.978.340
Coach;None;None;Coach Teri Shoulder Bag In Leather True Pink CA209;-51%;Rp 17.250.000;Rp 8.464.000;Rp 8.464.000
TORY BURCH;None;None;Tory Burch Ella Tote Bag Canvas Leather Logo Embossed Rose Dawn;-29%;Rp 6.170.000;Rp 4.410.000;Rp 4.410.000
MARNI;None;None;Marni Trunk Soft Leather Shoulder Bag Blue;-30%;Rp 22.560.000;Rp 15.810.000;Rp 15.810.000
Prada;None;None;Prada Brushed Leather Chain Bag Black Shw;-29%;Rp 34.140.000;Rp 24.410.000;Rp 24.410.000
MICHAEL KORS;None;None;Michael Kors Cora Mini Zip Pouchette Crossbody Leather Palmetto Green;-29%;Rp 4.740.000;Rp 3.390.000;Rp 3.390.000
Coach;None;None;Coach Nora Kisslock Crossbody Signature Khaki Red;-29%;Rp 5.720.000;Rp 4.090.000;Rp 4.090.000
Coach;None;None;Coach Small Wyn Trifold Wallet Camel Multi;-34%;Rp 3.240.000;Rp 2.150.000;Rp 2.150.000
TORY BURCH;None;None;Tory Burch T Monogram Grommet Mini Crescent Bag Ivory;-30%;Rp 10.140.000;Rp 7.100.000;Rp 7.100.000
Salvatore Ferragamo;None;None;Salvatore Ferragamo Vara Medium Crossbody Bag Deer;-29%;Rp 21.510.000;Rp 15.380.000;Rp 15.380.000
MICHAEL KORS;None;None;Michael Kors Jet Set Small Logo Crossbody Bag Brown;-29%;Rp 3.910.000;Rp 2.800.000;Rp 2.800.000
Marc Jacobs;None;None;Marc Jacobs Cruiser Crescent Bag Small Stone Blue;-29%;Rp 5.870.000;Rp 4.200.000;Rp 4.200.000
Coach;None;None;Coach Small Morgan Bifold Wallet in Signature Chambray Cornflower Multi;-34%;Rp 3.390.000;Rp 2.250.000;Rp 2.250.000
SAINT LAURENT;None;None;Saint Laurent Toy Puffer Shoulder Bag Gold and Silver Hardware Black;-29%;Rp 46.920.000;Rp 33.550.000;Rp 33.550.000
TORY BURCH;None;None;Tory Burch Kira Small Convertible Shoulder Bag Grey Heron Ghw;-29%;Rp 10.830.000;Rp 7.750.000;Rp 7.750.000
Givenchy;None;None;Givenchy Mini Voyou Bag Calfskin Leather Ivory;-29%;Rp 22.860.000;Rp 16.350.000;Rp 16.350.000
MARNI;None;None;Marni East/West Trunk Shoulder Bag Saffiano Leather Light Lilac;-30%;Rp 22.560.000;Rp 15.810.000;Rp 15.810.000
SAINT LAURENT;None;None;Saint Laurent Lou Camera Bag Quilted Leather Blanc Vintage Ghw;-29%;Rp 31.280.000;Rp 22.370.000;Rp 22.370.000
LOEWE;None;None;Loewe Small Luna Hobo Bag Satin Jacquard Light Oat;-29%;Rp 38.050.000;Rp 27.210.000;Rp 27.210.000
Coach;None;None;Coach Morgan Top Handle Satchel Denim Chambray Signature Wine Multi Ghw;-31%;Rp 8.460.000;Rp 5.920.000;Rp 5.920.000
Coach;None;None;Coach Jules Hobo Snake Sign Light Khaki Ivory Multi;-29%;Rp 5.570.000;Rp 3.980.000;Rp 3.980.000
Guess;25% Cashback;Min. pembelian  Rp299.000.;Corina Top Handle Flap Bag;-20%;Rp 2.698.650;Rp 2.158.920;Rp 2.158.920
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Girlfriend Satchel Bag;-10%;Rp 2.878.800;Rp 2.590.920;Rp 2.590.920
Coach;None;None;Coach Small Zip Around Wallet Jacquard Signature True Pink Khaki Multi;-34%;Rp 3.160.000;Rp 2.100.000;Rp 2.100.000
MARNI;None;None;Marni Trunk Bag Saffiano Leather Lilac/Cream;-30%;Rp 25.640.000;Rp 17.960.000;Rp 17.960.000
Valentino Garavani;None;None;Valentino Garavani Loco Shoulder Bag Calfskin Powder Rose;-30%;Rp 29.930.000;Rp 20.970.000;Rp 20.970.000
TUMI;None;None;Tumi Just In Case Backpack Nylon Camouflage Pink;-29%;Rp 4.670.000;Rp 3.340.000;Rp 3.340.000
Bottega Veneta;None;None;Bottega Veneta Padded Cassette Bag Green Ghw;-30%;Rp 54.790.000;Rp 38.390.000;Rp 38.390.000
Coach;None;None;Coach Mini Gallery Crossgrain Crossbody Bag Black;-30%;Rp 5.070.000;Rp 3.550.000;Rp 3.550.000
Coach;None;None;Coach Teri Shoulder Bag In Signature Chambray Wine Multi CH139;-51%;Rp 17.250.000;Rp 8.464.000;Rp 8.464.000
LONGCHAMP;None;None;Longchamp Le Pliage Original Medium Top Handle Bag Blush;-29%;Rp 3.690.000;Rp 2.640.000;Rp 2.640.000
TUMI;None;None;Tumi Just In Case Backpack Nylon Metallic Zinc;-29%;Rp 4.670.000;Rp 3.340.000;Rp 3.340.000
Marc Jacobs;None;None;Marc Jacobs The Grind Mini Tote Bag Leather Stone Blue;-29%;Rp 5.570.000;Rp 3.980.000;Rp 3.980.000
Fendi;None;None;Fendi Vertical F'graphy Wallet On Chain Leather Light Pink;-30%;Rp 23.340.000;Rp 16.350.000;Rp 16.350.000
Roger Vivier;None;None;Roger Vivier Viv' Choc Medium Shopping Bag in Leather Off White;-29%;Rp 29.030.000;Rp 20.760.000;Rp 20.760.000
Coach;None;None;Coach Small Zip Around Wallet Jacquard Signature Black Smoke Multi;-34%;Rp 3.160.000;Rp 2.100.000;Rp 2.100.000
BALLY;None;None;Bally Coralye Canvas Shoulder Bag Natural Cuero;-29%;Rp 9.330.000;Rp 6.670.000;Rp 6.670.000
Prada;None;None;Prada Medium Padded Soft Nappa Leather Bag Dessert Beige;-29%;Rp 49.630.000;Rp 35.490.000;Rp 35.490.000
TORY BURCH;None;None;Tory Burch Kira Diamond Woven Convertible Shoulder Bag New Ivory;-30%;Rp 13.670.000;Rp 9.570.000;Rp 9.570.000
Fendi;None;None;Fendi FF Fabric Baguette Bag with Inlay White Glazed;-30%;Rp 44.820.000;Rp 31.400.000;Rp 31.400.000
Coach;None;None;COACH women's leather one-shoulder handbag C4823;-12%;Rp 19.520.400;Rp 17.306.873;Rp 17.306.873
MOSCHINO;35% off + 5% Cashback;Tanpa min. pembelian.;Bear Wristlet (zt);-78%;Rp 21.029.000;None;Rp4.784.098
Guess;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Zip Pouch;-20%;Rp 939.000;Rp 751.200;Rp 751.200
Prada;None;None;Prada Moon Padded Nappa Leather Bag Black;-29%;Rp 44.670.000;Rp 31.940.000;Rp 31.940.000
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Mailbox Pouch Bag (ik);-55%;Rp 7.719.000;None;Rp3.512.145
Coach;None;None;Coach Jamie Camera Bag Crossbody Signature Khaki Green;-29%;Rp 5.040.000;Rp 3.610.000;Rp 3.610.000
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;New Best Soft Envelope Clutch;None;None;None;None
Coach;None;None;Coach Sydney Satchel Bag In Signature Chambray Cornflower Multi Shw;-29%;Rp 5.420.000;Rp 3.880.000;Rp 3.880.000
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Pénélope Pouch (hz);-48%;Rp 3.509.000;None;Rp1.824.680
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Trousse Travel Pouch;-55%;Rp 1.304.000;None;Rp593.320
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage LGP Pouch (hz);-20%;Rp 1.559.000;Rp 1.247.200;Rp 1.247.200
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Club Pouch (hz);-15%;Rp 1.059.000;Rp 900.150;Rp 900.150
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Club Pouch (hz);-15%;Rp 1.059.000;Rp 900.150;Rp 900.150
Coach;6% Cashback;Tanpa min. pembelian.;Originals Signature Canvas Wristlet (cv);-50%;Rp 6.859.000;Rp 3.429.500;Rp 3.429.500
TORY BURCH;35% off + 5% Cashback;Tanpa min. pembelian.;Fleming Soft Clutch (hz);-58%;Rp 16.049.000;None;Rp6.780.703
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Passport Case Luggage Tag Gift Set (hz);-42%;Rp 5.539.000;None;Rp3.240.315
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage LGP Pouch (hz);-52%;Rp 2.349.000;None;Rp1.145.138
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Foulonné Pouch (hz);-55%;Rp 2.479.000;None;Rp1.127.945
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Roseau Pouch (hz);-48%;Rp 2.479.000;None;Rp1.289.080
Guess;6% Cashback;Tanpa min. pembelian.;Noelle Chit Chat Bag;-56%;Rp 1.562.669;Rp 703.201;Rp 703.201
Guess;25% Cashback;Min. pembelian  Rp299.000.;Giully Camera Bag;None;None;None;None
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Foulonné High Tech Case (hz);-58%;Rp 4.179.000;None;Rp1.765.628
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Passport Case Luggage Tag Gift Set (hz);-42%;Rp 5.539.000;None;Rp3.240.315
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Roseau Essential Pouch (hz);-55%;Rp 2.479.000;None;Rp1.127.945
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Makeup Pouch;-48%;Rp 1.139.000;None;Rp592.280
TORY BURCH;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Virginia Large Cosmetic Case (hz);-20%;Rp 3.314.000;None;Rp2.666.900
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Makeup Bag;-48%;Rp 899.000;None;Rp467.480
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Cuir Estampe Pouch (hz);-45%;Rp 4.679.000;None;Rp2.585.148
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Organizer Pouch;-55%;Rp 1.192.000;None;Rp542.360
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Cuir LGP Pouch (hz);-55%;Rp 5.459.000;None;Rp2.483.845
Gucci;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Microguccissima Clutch (nt);-37%;Rp 33.619.000;None;Rp21.352.350
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Makeup Pouch;-61%;Rp 1.489.000;None;Rp580.710
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Pénélope Soft Pouch (hz);-58%;Rp 3.509.000;None;Rp1.482.553
VALENTINO by Mario Valentino;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Olive Makeup Pouch;-48%;Rp 1.579.000;None;Rp821.080
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Roseau Pouch (hz);-55%;Rp 2.479.000;None;Rp1.127.945
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Case For Airpods (hz);-58%;Rp 4.329.000;None;Rp1.829.003
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Trousse Pouch;-48%;Rp 1.095.000;None;Rp569.400
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Foulonné High Tech Case (hz);-58%;Rp 4.179.000;None;Rp1.765.628
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Avern Makeup Pouch;-60%;Rp 1.279.000;Rp 511.600;Rp 511.600
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Avern Makeup Pouch;-60%;Rp 1.279.000;Rp 511.600;Rp 511.600
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Liuto Makeup Pouch;-56%;Rp 1.579.000;Rp 710.550;Rp 710.550
Ferragamo;35% off + 5% Cashback;Tanpa min. pembelian.;Viva Bow Pouch (zt);-55%;Rp 16.849.000;None;Rp7.666.295
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Makeup Bag;-25%;Rp 899.000;Rp 674.250;Rp 674.250
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Trousse Pouch;-55%;Rp 1.304.000;None;Rp593.320
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Organizer Pouch;-55%;Rp 1.192.000;None;Rp542.360
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Makeup Pouch;-48%;Rp 1.759.000;None;Rp914.680
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Olive Makeup Pouch;-56%;Rp 1.579.000;Rp 710.550;Rp 710.550
MICHAEL KORS;None;None;Stirling Large Studded Quilted Recycled Polyester Tote Bag;-60%;Rp 7.629.000;Rp 3.051.600;Rp 3.051.600
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Teri Shoulder Bag In Signature Canvas Khaki Chalk Multi;-34%;Rp 8.730.000;None;Rp5.826.000
Gucci;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Gucci Dionysus Gg Crossbody Bag in Gold;-6%;Rp 103.430.827;None;Rp98.139.286
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;New Best Monogram Pouch;-55%;Rp 1.449.000;None;Rp659.295
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Avern Makeup Pouch;-60%;Rp 1.279.000;Rp 511.600;Rp 511.600
Louis Vuitton;None;None;LOUIS VUITTON Bag Wanita NEONOE Medium Old Flower One Shoulder Portable Bucket Bag M44887;-46%;Rp 152.734.800;Rp 83.765.384;Rp 83.765.384
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;City Tote In Signature Canvas Black Cherry;-48%;Rp 8.730.000;None;Rp4.576.000
LOEWE;3% Cashback;Tanpa min. pembelian.;Loewe Mini Gate Dual Bag in Soft Calfskin Jacquard Warm Dessert;-29%;Rp 34.440.000;Rp 24.630.000;Rp 24.630.000
Gucci;None;None;GUCCI Wanita itu membuat satchel dengan satu bahu 700457 HUHHG 8565;-45%;Rp 210.360.000;Rp 116.866.667;Rp 116.866.667
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;New Best Monogram Pouch;-55%;Rp 1.449.000;None;Rp659.295
Guess;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Pouch Bum Bag;-35%;Rp 1.619.000;Rp 1.052.350;Rp 1.052.350
Guess;25% Cashback;Min. pembelian  Rp299.000.;Emiliya Slg Large Zip Around;None;None;None;None
Bonia;None;None;Damiano Capsule Tote Maroon;-50%;Rp 7.350.000;Rp 3.675.000;Rp 3.675.000
MICHAEL KORS;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Michael Kors SoHo Large Quilted Leather Shoulder Bag Black Shw;-47%;Rp 8.750.000;None;Rp4.640.000
TUMI;10% off;Tanpa min. pembelian , maks. potongan Rp2.000.000.;Tumi 136394-2693 Alexa Backpack Black;-46%;Rp 11.699.000;None;Rp6.389.100
Bonia;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;La Luna Monogram Sailor Bag Brown;-30%;Rp 4.900.000;None;Rp3.473.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Klare Crossbody In Signature Canvas Brown Black;-28%;Rp 8.555.000;None;Rp6.181.000
MICHAEL KORS;None;None;Blaire Large Logo Tote Bag;-50%;Rp 9.119.000;Rp 4.559.500;Rp 4.559.500
MICHAEL KORS;None;None;Bradshaw Small Graphic Logo Embossed Faux Leather Convertible Shoulder Bag;-50%;Rp 7.629.000;Rp 3.814.500;Rp 3.814.500
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Bello Beige;-31%;Rp 1.395.000;None;Rp966.000
Christian Dior;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Christian Dior Lady D Medium Lambskin Black;-34%;Rp 156.860.000;None;Rp104.110.000
Gucci;10% off;Tanpa min. pembelian , maks. potongan Rp2.000.000.;Gucci GG Marmont Mini Top Handle Leather Blue And Red;-39%;Rp 48.999.000;None;Rp29.999.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mini Dempsey Bucket Bag In Signature Jacquard With Stripe And Coach Patch Wine Multi;-32%;Rp 6.220.000;None;Rp4.274.000
MICHAEL KORS;None;None;Sullivan Large Saffiano Leather Top-Zip Tote Bag;-50%;Rp 7.849.000;Rp 3.924.500;Rp 3.924.500
BALLY;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Bally Baily Crossbody Bag Multicue/Midnight;-45%;Rp 13.270.000;None;Rp7.410.000
Bonia;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Solana Bucket Bag;-31%;Rp 9.350.000;None;Rp6.512.500
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Mina Bag Green;-27%;Rp 2.355.000;None;Rp1.734.000
TORY BURCH;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Tory Burch Fleming Small Convertible Leather Shoulder Bag Pebblestone;-35%;Rp 11.580.000;None;Rp7.550.000
MICHAEL KORS;None;None;Jet Set Large Saffiano Leather Crossbody Bag;-50%;Rp 6.529.000;Rp 3.264.500;Rp 3.264.500
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;City Tote Chalk;-39%;Rp 9.640.000;None;Rp5.923.000
Christian Dior;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Christian Dior Lady D Small Cannage Lambskin Powder Pink;-29%;Rp 132.340.000;None;Rp94.430.000
SAINT LAURENT;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Saint Laurent LouLou Small Black Ghw;-35%;Rp 57.090.000;None;Rp37.220.000
Gucci;None;None;Gucci Women's Single Shoulder Messenger Bag 400249 khnrn;-15%;Rp 105.810.000;Rp 90.083.334;Rp 90.083.334
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Oat Bag + Pebble Case - Black;-26%;Rp 2.875.000;None;Rp2.150.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Pillow Tabby Shoulder Bag 18 With Ombre Pale Pistachio Multi;-27%;Rp 9.335.000;None;Rp6.897.000
